time;count;latitude_TV;longitude_TV;speed_TV;speed km;heading_TV;lap
1579609825.26666;0;278.55029296875;3.0023092630326995;0.19215749204158783;0.6917669713497162;-1.5731853246688843;0
7.6292641162872314;1;278.5502624511719;3.002308664449049;0.0996430292725563;0.3587149053812027;-1.5731849670410156;0
7.656739950180054;2;278.5504150390625;3.0023083621270716;0.022890591993927956;0.08240613117814065;-1.5731847286224365;0
7.684197187423706;3;278.5505676269531;3.002307976656146;0.028014905750751495;0.10085366070270539;-1.573184609413147;0
7.714804172515869;4;278.5506286621094;3.0023075704614053;0.028543032705783844;0.10275491774082184;-1.5731847286224365;0
7.738870143890381;5;278.5506591796875;3.0023071866710134;0.027857787907123566;0.10028803646564484;-1.5731843709945679;0
7.766623020172119;6;278.5507507324219;3.002307200906255;0.02784815989434719;0.10025337561964989;-1.5731853246688843;0
7.794150114059448;7;278.5508728027344;3.002309217445103;0.027321891859173775;0.09835881069302559;-1.5731860399246216;0
7.821819067001343;8;278.55096435546875;3.002313984564065;0.01887257769703865;0.06794127970933915;-1.5731900930404663;0
7.849316120147705;9;278.5509338378906;3.002321134873709;0.023265527561306953;0.08375589922070503;-1.5731947422027588;0
7.876739025115967;10;278.55047607421875;3.0023291221354307;0.062137894332408905;0.22369641959667205;-1.5731998682022095;0
7.90430212020874;11;278.549560546875;3.0023375935493086;0.10373606532812119;0.37344983518123626;-1.5732040405273438;0
7.931962013244629;12;278.5481872558594;3.00234602546079;0.1458522528409958;0.5250681102275848;-1.5732073783874512;0
7.959357976913452;13;278.54632568359375;3.002354382052847;0.1881169080734253;0.6772208690643311;-1.5732100009918213;0
7.986898183822632;14;278.54400634765625;3.002362936034944;0.23044708371162415;0.829609501361847;-1.5732120275497437;0
8.014270067214966;15;278.5412292480469;3.002371939717417;0.272813618183136;0.9821290254592896;-1.5732136964797974;0
8.041669130325317;16;278.5379943847656;3.0023815521520176;0.31520238518714905;1.1347285866737367;-1.5732148885726929;0
8.069354057312012;17;278.5342712402344;3.0023918750328114;0.3576050102710724;1.2873780369758607;-1.5732158422470093;0
8.09672999382019;18;278.53009033203125;3.0024030118377643;0.4000176787376404;1.4400636434555054;-1.5732165575027466;0
8.124238967895508;19;278.5254211425781;3.002415074660245;0.44243675470352173;1.5927723169326782;-1.5732171535491943;0
8.151599168777466;20;278.52032470703125;3.002428111814685;0.48486098647117615;1.7454995512962341;-1.573217511177063;0
8.179206132888794;21;278.5147399902344;3.0024421254901545;0.527288556098938;1.898238801956177;-1.5732178688049316;0
8.20650315284729;22;278.5086669921875;3.0024571423292827;0.5697192549705505;2.050989317893982;-1.5732181072235107;0
8.234096050262451;23;278.5021667480469;3.0024732268954883;0.6121517419815063;2.203746271133423;-1.5732183456420898;0
8.262096166610718;24;278.49517822265625;3.00249039726843;0.6545863151550293;2.3565107345581056;-1.5732184648513794;0
8.288978099822998;25;278.4877014160156;3.0025086290239362;0.6970217227935791;2.5092782020568847;-1.573218584060669;0
8.317085981369019;26;278.47979736328125;3.002527925353194;0.7394585609436035;2.6620508193969727;-1.5732187032699585;0
8.344398021697998;27;278.4714050292969;3.00254833779594;0.7818958163261414;2.814824938774109;-1.573218822479248;0
8.372166156768799;28;278.4625549316406;3.0025698780720464;0.8243339657783508;2.967602276802063;-1.573218822479248;0
8.400537967681885;29;278.4532165527344;3.002592512164649;0.8667722940444946;3.1203802585601808;-1.573218822479248;0
8.429906129837036;30;278.4434509277344;3.002616231720544;0.9092112183570862;3.2731603860855105;-1.5732189416885376;0
8.460217952728271;31;278.4331970214844;3.002641083935404;0.9516500234603882;3.4259400844573977;-1.5732189416885376;0
8.487620115280151;32;278.4224548339844;3.0026670816235392;0.9940893054008484;3.5787214994430543;-1.5732189416885376;0
8.51700496673584;33;278.4112854003906;3.0026941871719504;1.03652822971344;3.731501626968384;-1.5732189416885376;0
8.543830156326294;34;278.3996276855469;3.002722384630214;1.078967571258545;3.884283256530762;-1.5732189416885376;0
8.571174144744873;35;278.38751220703125;3.0027517195339066;1.1214063167572021;4.037062740325928;-1.5732189416885376;0
8.598428964614868;36;278.3749084472656;3.0027822085191502;1.163845419883728;4.189843511581421;-1.573218822479248;0
8.625946998596191;37;278.3618469238281;3.002813812853707;1.2062838077545166;4.34262170791626;-1.573218822479248;0
8.653277158737183;38;278.34832763671875;3.0028465102191486;1.2487224340438843;4.495400762557984;-1.573218822479248;0
8.68059515953064;39;278.3343505859375;3.002880345033846;1.2911603450775146;4.648177242279053;-1.573218822479248;0
8.707993030548096;40;278.31988525390625;3.0029153388350114;1.333598256111145;4.800953722000123;-1.5732187032699585;0
8.735417127609253;41;278.3049621582031;3.002951453100676;1.3760355710983276;4.95372805595398;-1.5732187032699585;0
8.763482093811035;42;278.2895812988281;3.002988659520637;1.4184727668762207;5.106501960754395;-1.5732187032699585;0
8.790085077285767;43;278.2737121582031;3.0030270011725464;1.460909128189087;5.259272861480713;-1.5732187032699585;0
8.817435026168823;44;278.25738525390625;3.0030665050128027;1.5033454895019531;5.412043762207031;-1.573218584060669;0
8.845019102096558;45;278.2406005859375;3.0031071335995674;1.545780897140503;5.5648112297058105;-1.573218584060669;0
8.873039960861206;46;278.22332763671875;3.0031488529007153;1.5882161855697632;5.717578268051148;-1.573218584060669;0
8.903831958770752;47;278.20562744140625;3.0031917039998373;1.630650520324707;5.870341873168946;-1.5732184648513794;0
8.9307541847229;48;278.18743896484375;3.0032357194951826;1.6730847358703613;6.023105049133301;-1.5732184648513794;0
