time;count;latitude_TV;longitude_TV;speed_TV;speed km;heading_TV;lap
1579709012.705748;0;41.44725799560547;3.0001127322089345;0.03243008628487587;0.11674831062555313;1.569901466369629;0
3.0655481815338135;1;41.44693374633789;3.000059996081516;0.03600923344492912;0.12963324040174484;1.5698426961898804;0
3.093203067779541;2;41.44657897949219;2.999992078378348;0.03681248426437378;0.1325249433517456;1.5697598457336426;0
3.120774030685425;3;41.44621276855469;2.999916457646134;0.03820621222257614;0.13754236400127412;1.5696630477905273;0
3.1479740142822266;4;41.44585037231445;2.999835151472744;0.03673430159687996;0.13224348574876785;1.5695611238479614;0
3.177856206893921;5;41.44549560546875;2.9997381817812214;0.037756431847810745;0.13592315465211868;1.569447636604309;0
3.204754114151001;6;41.44514846801758;2.999627832596561;0.0365791842341423;0.1316850632429123;1.569327473640442;0
3.232347011566162;7;41.44493103027344;2.9995045912354286;0.02133655734360218;0.07681160643696786;1.5692147016525269;0
3.260106086730957;8;41.445106506347656;2.9993684241587126;0.03714140132069588;0.13370904475450515;1.5691272020339966;0
3.289262056350708;9;41.445674896240234;2.999233485588663;0.06884035468101501;0.24782527685165406;1.5690447092056274;0
3.316488027572632;10;41.44664001464844;2.9991071033245906;0.10382195562124252;0.3737590402364731;1.5689588785171509;0
3.3460471630096436;11;41.448001861572266;2.9989918979559635;0.14056292176246643;0.5060265183448792;1.5688812732696533;0
3.373263120651245;12;41.449764251708984;2.9988833491364306;0.17560644447803497;0.6321832001209259;1.568807601928711;0
3.400984048843384;13;41.45192337036133;2.998779006916992;0.2119838148355484;0.7631417334079743;1.5687378644943237;0
3.432692050933838;14;41.4544792175293;2.9986795275822336;0.24653209745883942;0.8875155508518219;1.568673849105835;0
3.4600510597229004;15;41.457435607910156;2.9985847026451777;0.28422772884368896;1.0232198238372803;1.5686120986938477;0
3.4883580207824707;16;41.46078872680664;2.9984938757592303;0.32019492983818054;1.15270174741745;1.568554162979126;0
3.520543098449707;17;41.464534759521484;2.998406699172282;0.35518279671669006;1.2786580681800843;1.5685001611709595;0
3.547816038131714;18;41.468685150146484;2.9983253506648313;0.39152130484580994;1.4094766974449158;1.568451166152954;0
3.575438976287842;19;41.473228454589844;2.998250630705911;0.4287450909614563;1.5434823274612428;1.5684064626693726;0
3.604361057281494;20;41.47816848754883;2.998181701905164;0.46402913331985474;1.670504879951477;1.5683667659759521;0
3.63151216506958;21;41.48351287841797;2.9981188205317317;0.5004792809486389;1.8017254114151002;1.5683326721191406;0
3.6588101387023926;22;41.4892463684082;2.99806364361749;0.5352529287338257;1.9269105434417726;1.5683051347732544;0
3.686298131942749;23;41.495384216308594;2.9980158627950506;0.5730658769607544;2.063037157058716;1.568281650543213;0
3.713618040084839;24;41.50191879272461;2.9979757428299227;0.6090737581253052;2.192665529251099;1.568265676498413;0
3.7409720420837402;25;41.50885009765625;2.997944367892796;0.6442666053771973;2.31935977935791;1.5682567358016968;0
3.7681679725646973;26;41.51618194580078;2.9979223733750238;0.6796768307685852;2.4468365907669067;1.5682576894760132;0
3.795699119567871;27;41.52391052246094;2.9979050533909026;0.7171475291252136;2.581731104850769;1.5682536363601685;0
3.8230340480804443;28;41.53202819824219;2.9978806928740975;0.7519043684005737;2.7068557262420656;1.568251132965088;0
3.8543641567230225;29;41.540550231933594;2.9978518002716426;0.7895506620407104;2.842382383346558;1.5682436227798462;0
3.8833069801330566;30;41.549461364746094;2.997827662209246;0.8253762722015381;2.971354579925537;1.5682456493377686;0
3.910856008529663;31;41.558773040771484;2.9978140641816586;0.860529363155365;3.097905707359314;1.568253993988037;0
3.9386491775512695;32;41.56846618652344;2.9978129757396377;0.8934008479118347;3.216243052482605;1.5682748556137085;0
3.9662652015686035;33;41.5785026550293;2.9978393357957596;0.9239749908447266;3.326309967041016;1.5683177709579468;0
3.9935500621795654;34;41.588890075683594;2.9978967644788166;0.9571917653083801;3.4458903551101687;1.5683742761611938;0
4.020910024642944;35;41.599632263183594;2.9979776249191796;0.9896000623703003;3.562560224533081;1.5684452056884766;0
4.048447132110596;36;41.6107177734375;2.9980820949655884;1.0204819440841675;3.673734998703003;1.5685392618179321;0
4.076833009719849;37;41.622154235839844;2.998217527199891;1.051401972770691;3.7850471019744876;1.5686513185501099;0
4.107470989227295;38;41.63394546508789;2.9983807999059846;1.0846929550170898;3.9048946380615237;1.5687799453735352;0
4.133727073669434;39;41.64608383178711;2.998562197613958;1.115902066230774;4.017247438430786;1.5689254999160767;0
4.161415100097656;40;41.6585693359375;2.998743689644985;1.146828532218933;4.128582715988159;1.5690662860870361;0
4.188896179199219;41;41.67138671875;2.998922265712839;1.1776043176651;4.2393755435943605;1.5692039728164673;0
4.216210126876831;42;41.684532165527344;2.9990986255390757;1.206379771232605;4.342967176437378;1.5693409442901611;0
4.243813991546631;43;41.69801712036133;2.999274404957756;1.237058162689209;4.4534093856811525;1.5694760084152222;0
4.2736430168151855;44;41.71183776855469;2.999448916522746;1.2683697938919067;4.566131258010865;1.5696104764938354;0
4.300992012023926;45;41.72599411010742;2.9996242310354377;1.2991242408752441;4.676847267150879;1.5697427988052368;0
4.328448057174683;46;41.74048614501953;2.9998000668414346;1.3299131393432617;4.787687301635742;1.5698747634887695;0
4.362950086593628;47;41.75531768798828;2.999977206524117;1.3613929748535156;4.901014709472657;1.5700052976608276;0
4.391493082046509;48;41.77048873901367;3.0001582367963655;1.3916430473327637;5.00991497039795;1.5701403617858887;0
4.418213129043579;49;41.78600311279297;3.0003518513609473;1.4235670566558838;5.124841403961182;1.5702803134918213;0
