time;count_SV;latitude_SV;longitude_SV;speed_SV;speed km;heading_SV;PID Error;Theta Error;lap_SV
2.6757140159606934;0;21.422163009643555;2.993253501089008;0.03272918239235878;0.11782505661249161;1.5626572370529175;0.0;0.0;0
2.6797409057617188;1;21.421892166137695;2.993116089608234;0.031166326254606247;0.11219877451658249;1.562531590461731;0.0;0.0;0
2.706386089324951;2;21.421632766723633;2.992987443024445;0.031145358458161354;0.11212329044938088;1.5624202489852905;0.0;0.0;0
2.735630989074707;3;21.421388626098633;2.9928736309461823;0.029282907024025917;0.1054184652864933;1.562324047088623;4.99537467956543;0.0;0
2.765522003173828;4;21.42111587524414;2.992780726903536;0.03266029804944992;0.11757707297801971;1.562232494354248;4.99561882019043;0.0;0
2.792733907699585;5;21.420804977416992;2.992691215945624;0.03402670472860336;0.12249613702297212;1.5621360540390015;4.995891571044922;0.0;0
2.820742130279541;6;21.420461654663086;2.9925986564409994;0.037463750690221786;0.13486950248479843;1.5620291233062744;4.995510101318359;0.0;0
2.8477749824523926;7;21.42009735107422;2.992499240711988;0.03738443925976753;0.1345839813351631;1.5619152784347534;4.995510101318359;0.0;0
2.8753890991210938;8;21.41971778869629;2.9924014463790276;0.040051862597465515;0.14418670535087585;1.5617974996566772;4.995874404907227;0.0;0
2.902708053588867;9;21.4193172454834;2.9922948842006223;0.04070473834872246;0.14653705805540085;1.5616774559020996;4.995244979858398;0.0;0
2.930629014968872;10;21.41889762878418;2.992182682281836;0.04335241764783859;0.15606870353221894;1.561553716659546;4.995645523071289;0.0;0
2.957875967025757;11;21.41847038269043;2.9920638335767875;0.042193666100502014;0.15189719796180726;1.561424732208252;4.996065139770508;0.0;0
2.98517107963562;12;21.418045043945312;2.9919361546241405;0.04355698823928833;0.156805157661438;1.5612884759902954;4.995388031005859;0.0;0
3.012779951095581;13;21.417625427246094;2.9918010706753324;0.041590217500925064;0.14972478300333023;1.5611464977264404;4.995813369750977;0.0;0
3.0402309894561768;14;21.41721534729004;2.991658370391662;0.04263901337981224;0.15350044816732408;1.5609992742538452;4.996232986450195;0.0;0
3.0678870677948;15;21.416824340820312;2.9915122305741697;0.03829006105661392;0.13784421980381012;1.5608530044555664;4.99555778503418;0.0;0
3.0951550006866455;16;21.41647720336914;2.9913661878426527;0.0359937958419323;0.12957766503095627;1.560718297958374;4.995948791503906;0.0;0
3.1226189136505127;17;21.416208267211914;2.9912310071472423;0.02801874652504921;0.10086748749017715;1.560608148574829;4.9952392578125;0.0;0
3.1501660346984863;18;21.416027069091797;2.9911170613140645;0.022972900420427322;0.08270244151353837;1.560526967048645;4.995508193969727;0.0;0
3.1776859760284424;19;21.415918350219727;2.991031418428446;0.018090810626745224;0.0651269182562828;1.5604737997055054;4.995689392089844;0.0;0
3.205029010772705;20;21.415864944458008;2.9909881525550834;0.01616254635155201;0.05818516686558724;1.560452938079834;4.994731903076172;0.0;0
3.232546091079712;21;21.415815353393555;2.9909906775657165;0.01644166000187397;0.059189976006746296;1.5604603290557861;4.994785308837891;0.0;0
3.260077953338623;22;21.415739059448242;2.9910284719790106;0.018564462661743164;0.06683206558227539;1.560487985610962;4.994834899902344;0.0;0
3.2877299785614014;23;21.415592193603516;2.991087829224501;0.024352431297302246;0.08766875267028809;1.560549259185791;4.993816375732422;0.0;0
3.316038131713867;24;21.415342330932617;2.9911639901024323;0.03170819208025932;0.11414949148893357;1.5606417655944824;4.993963241577148;0.0;0
3.343683958053589;25;21.415040969848633;2.991252789447629;0.033765945583581924;0.12155740410089493;1.5607481002807617;4.994213104248047;0.0;0
3.3716061115264893;26;21.4146785736084;2.991349507067996;0.040044303983449936;0.14415949434041977;1.5608711242675781;4.993389129638672;0.0;0
3.3987739086151123;27;21.414270401000977;2.991432960329355;0.04112487658858299;0.14804955571889877;1.5609967708587646;4.993751525878906;0.0;0
3.426331043243408;28;21.41383934020996;2.991486168590124;0.04381281137466431;0.15772612094879152;1.5611051321029663;4.994159698486328;0.0;0
3.453792095184326;29;21.413394927978516;2.9915025756048124;0.041391752660274506;0.14901030957698821;1.561192512512207;4.993432998657227;0.0;0
3.4815969467163086;30;21.41301155090332;2.991523063681928;0.03500283136963844;0.1260101929306984;1.5612642765045166;4.993877410888672;0.0;0
3.508918046951294;31;21.41274642944336;2.991566058953529;0.02506103739142418;0.09021973460912705;1.5613278150558472;4.994260787963867;0.0;0
3.5370841026306152;32;21.41257667541504;2.991621770945126;0.02076185680925846;0.07474268451333047;1.5613853931427002;4.993541717529297;0.0;0
3.5639901161193848;33;21.412464141845703;2.991679565247848;0.018588531762361526;0.0669187143445015;1.561437726020813;4.993541717529297;0.0;0
3.5915141105651855;34;21.4123592376709;2.991729607331258;0.01884075067937374;0.06782670244574547;1.561488151550293;4.992809295654297;0.0;0
3.6190319061279297;35;21.412246704101562;2.991763136531252;0.01864088699221611;0.067107193171978;1.5615265369415283;4.992914199829102;0.0;0
3.6464929580688477;36;21.412137985229492;2.9917730025960756;0.018027296289801598;0.06489826664328575;1.5615408420562744;4.9930267333984375;0.0;0
3.6740469932556152;37;21.41202735900879;2.991754503489765;0.020004672929644585;0.07201682254672051;1.5615222454071045;4.992868423461914;0.0;0
3.7018280029296875;38;21.411874771118164;2.9917004988557494;0.02304830588400364;0.0829739011824131;1.5614668130874634;4.992979049682617;0.0;0
3.7309489250183105;39;21.41168975830078;2.9916177068762804;0.02629595622420311;0.09466544240713119;1.5613969564437866;4.993131637573242;0.0;0
