num,send_time,sender,troughput,head,lat_id,long_id
110,0.35582,783368690,0.136848,180,0,0
111,0.356482,1649760492,0.137836,180,6.20153e-91,1.17119e+166
112,0.356789,1350490027,0.138958,180,0,0
113,0.357369,1967513926,0.139971,180,0,0
114,0.357586,1102520059,0.141124,180,0,0
115,0.358009,1025202362,0.142194,180,0,0
116,0.358361,719885386,0.143289,180,0,0
117,0.358443,1804289383,0.144492,270,51.4864,1
118,0.358473,846930886,0.145715,270,41.452,1
119,0.358701,1189641421,0.146856,180,0,0
120,0.359572,596516649,0.147731,180,0,0
121,0.450567,1714636915,0.118878,270,21.4365,-1
122,0.451352,1365180540,0.119652,180,0,0
123,0.451497,1540383426,0.120594,180,0,0
124,0.453844,1681692777,0.120946,270,31.4461,1
125,0.453865,304089172,0.121916,180,4.67368e-310,4.67368e-310
126,0.454499,1303455736,0.12272,180,0,0
127,0.454736,2044897763,0.123629,180,0,0
128,0.454777,1957747793,0.124592,270,11.4391,-1
129,0.4548,424238335,0.125559,180,0,0
130,0.45582,783368690,0.126249,180,0,0
131,0.456482,1649760492,0.127035,180,6.20153e-91,1.17119e+166
132,0.456789,1350490027,0.127919,180,0,0
133,0.457369,1967513926,0.128725,180,0,0
134,0.457586,1102520059,0.129631,180,0,0
135,0.458009,1025202362,0.130478,180,0,0
136,0.458361,719885386,0.131343,180,0,0
137,0.458443,1804289383,0.132286,270,51.5635,1
138,0.458473,846930886,0.133242,270,41.4922,1
139,0.458701,1189641421,0.134141,180,0,0
140,0.459572,596516649,0.13485,180,0,0
141,0.550567,1714636915,0.113367,270,21.4444,1
142,0.551352,1365180540,0.114008,180,0,0
143,0.551497,1540383426,0.114781,180,0,0
144,0.553844,1681692777,0.115094,270,31.4894,1
145,0.553865,304089172,0.115889,180,4.67368e-310,4.67368e-310
146,0.554499,1303455736,0.116554,180,0,0
147,0.554736,2044897763,0.117303,180,0,0
148,0.554777,1957747793,0.118092,270,11.4383,-1
149,0.5548,424238335,0.118885,180,0,0
150,0.55582,783368690,0.119463,180,0,0
151,0.556482,1649760492,0.120117,180,6.20153e-91,1.17119e+166
152,0.556789,1350490027,0.120845,180,0,0
153,0.557369,1967513926,0.121514,180,0,0
154,0.557586,1102520059,0.12226,180,0,0
155,0.558009,1025202362,0.122961,180,0,0
156,0.558361,719885386,0.123676,180,0,0
157,0.558443,1804289383,0.124451,270,51.6784,1
158,0.558473,846930886,0.125237,270,41.5731,1
159,0.558701,1189641421,0.125978,180,0,0
160,0.559572,596516649,0.126573,180,0,0
161,0.650567,1714636915,0.10955,270,21.49,1
162,0.651352,1365180540,0.110097,180,0,0
163,0.651497,1540383426,0.110752,180,0,0
164,0.653844,1681692777,0.111032,270,31.5818,1
165,0.653865,304089172,0.111705,180,4.67368e-310,4.67368e-310
166,0.654499,1303455736,0.112273,180,0,0
167,0.654736,2044897763,0.112909,180,0,0
168,0.654777,1957747793,0.113578,270,11.4563,1
169,0.6548,424238335,0.11425,180,0,0
170,0.65582,783368690,0.114747,180,0,0
171,0.656482,1649760492,0.115306,180,6.20153e-91,1.17119e+166
172,0.656789,1350490027,0.115926,180,0,0
173,0.657369,1967513926,0.116497,180,0,0
174,0.657586,1102520059,0.117131,180,0,0
175,0.658009,1025202362,0.117729,180,0,0
176,0.658361,719885386,0.118338,180,0,0
177,0.658443,1804289383,0.118996,270,51.8503,1
178,0.658473,846930886,0.119663,270,41.7071,1
179,0.658701,1189641421,0.120293,180,0,0
180,0.659572,596516649,0.120806,180,0,0
181,0.750567,1714636915,0.10675,270,21.5733,1
182,0.751352,1365180540,0.107227,180,0,0
183,0.751497,1540383426,0.107796,180,0,0
184,0.753844,1681692777,0.108047,270,31.7046,1
185,0.753865,304089172,0.108631,180,4.67368e-310,4.67368e-310
186,0.754499,1303455736,0.109127,180,0,0
187,0.754736,2044897763,0.109679,180,0,0
188,0.754777,1957747793,0.11026,270,11.512,1
189,0.7548,424238335,0.110843,180,0,0
190,0.75582,783368690,0.111279,180,0,0
191,0.756482,1649760492,0.111767,180,6.20153e-91,1.17119e+166
192,0.756789,1350490027,0.112306,180,0,0
193,0.757369,1967513926,0.112805,180,0,0
194,0.757586,1102520059,0.113357,180,0,0
195,0.758009,1025202362,0.113877,180,0,0
196,0.758361,719885386,0.114408,180,0,0
197,0.758443,1804289383,0.114979,270,52.0448,1
198,0.758473,846930886,0.115559,270,41.8674,1
199,0.758701,1189641421,0.116107,180,0,0
200,0.759572,596516649,0.116557,180,0,0
201,0.850567,1714636915,0.104608,270,21.6943,1
202,0.851352,1365180540,0.105031,180,0,0
203,0.851497,1540383426,0.105533,180,0,0
204,0.853844,1681692777,0.105762,270,31.8455,1
205,0.853865,304089172,0.106278,180,4.67368e-310,4.67368e-310
206,0.854499,1303455736,0.106717,180,0,0
207,0.854736,2044897763,0.107205,180,0,0
208,0.854777,1957747793,0.107718,270,11.6054,1
209,0.8548,424238335,0.108233,180,0,0
210,0.85582,783368690,0.108621,180,0,0
